"LatD, ""LatM"", ""LatS"", ""NS"", ""LonD"", ""LonM"", ""LonS"", ""EW"", ""City"", ""State"""
"   33,   25,   48, ""N"",     94,    3,    0, ""W"", ""Texarkana"", TX"
"   39,   28,   12, ""N"",     87,   24,   36, ""W"", ""Terre Haute"", IN"
"   27,   57,    0, ""N"",     82,   26,   59, ""W"", ""Tampa"", FL"
"   30,   27,    0, ""N"",     84,   16,   47, ""W"", ""Tallahassee"", FL"
"   47,   14,   24, ""N"",    122,   25,   48, ""W"", ""Tacoma"", WA"
"   43,    2,   59, ""N"",     76,    9,    0, ""W"", ""Syracuse"", NY"
"   32,   35,   59, ""N"",     82,   20,   23, ""W"", ""Swainsboro"", GA"
"   33,   55,   11, ""N"",     80,   20,   59, ""W"", ""Sumter"", SC"
"   40,   59,   24, ""N"",     75,   11,   24, ""W"", ""Stroudsburg"", PA"
"   37,   57,   35, ""N"",    121,   17,   24, ""W"", ""Stockton"", CA"
"   44,   31,   12, ""N"",     89,   34,   11, ""W"", ""Stevens Point"", WI"
"   40,   21,   36, ""N"",     80,   37,   12, ""W"", ""Steubenville"", OH"
"   40,   37,   11, ""N"",    103,   13,   12, ""W"", ""Sterling"", CO"
"   38,    9,    0, ""N"",     79,    4,   11, ""W"", ""Staunton"", VA"
"   39,   55,   11, ""N"",     83,   48,   35, ""W"", ""Springfield"", OH"
"   37,   13,   12, ""N"",     93,   17,   24, ""W"", ""Springfield"", MO"
"   42,    5,   59, ""N"",     72,   35,   23, ""W"", ""Springfield"", MA"
"   39,   47,   59, ""N"",     89,   39,    0, ""W"", ""Springfield"", IL"
"   47,   40,   11, ""N"",    117,   24,   36, ""W"", ""Spokane"", WA"
"   41,   40,   48, ""N"",     86,   15,    0, ""W"", ""South Bend"", IN"
"   43,   32,   24, ""N"",     96,   43,   48, ""W"", ""Sioux Falls"", SD"
"   42,   29,   24, ""N"",     96,   23,   23, ""W"", ""Sioux City"", IA"
"   32,   30,   35, ""N"",     93,   45,    0, ""W"", ""Shreveport"", LA"
